,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,Enrollment,% Students with Disabilities,% Overage,% Black or Hispanic,% ELL
240,42,373,370,419,0.205,0.06,0.907,0.036
241,55,372,379,536,0.239,0.103,0.953,0.237
242,68,371,365,357,0.213,0.176,0.961,0.036
243,60,371,371,412,0.252,0.083,0.896,0.104
244,32,371,368,459,0.235,0.122,0.965,0.072
245,31,371,377,310,0.229,0.152,0.965,0.132
246,74,370,381,347,0.104,0.092,0.928,0.035
247,74,370,369,465,0.361,0.153,0.968,0.069
248,57,370,371,496,0.228,0.133,0.946,0.173
249,43,370,367,294,0.187,0.092,0.908,0.031
250,36,370,372,268,0.235,0.127,0.981,0.011
251,25,370,349,261,0.314,0.211,0.874,0.134
252,67,369,367,367,0.213,0.063,0.97,0.101
253,63,369,380,550,0.233,0.12,0.973,0.293
254,39,369,371,304,0.319,0.155,0.951,0.095
255,50,368,384,391,0.184,0.138,0.974,0.074
256,43,368,378,276,0.257,0.199,0.949,0.072
257,94,367,376,620,0.332,0.153,0.948,0.055
258,63,367,385,442,0.251,0.145,0.957,0.17
259,42,367,373,454,0.2,0.051,0.96,0.033
260,36,367,379,379,0.156,0.077,0.879,0.084
261,28,367,356,440,0.273,0.155,0.989,0.136
262,65,366,364,404,0.24,0.124,0.96,0.166
263,46,366,378,387,0.271,0.114,0.966,0.106
264,131,365,370,1199,0.219,0.158,0.977,0.028
265,102,365,361,433,0.286,0.162,0.97,0.226
266,76,365,384,571,0.187,0.117,0.977,0.455
267,144,364,379,1120,0.173,0.098,0.98,0.171
268,65,364,378,344,0.224,0.055,0.983,0.047
269,114,363,368,559,0.234,0.1,0.95,0.131
270,94,363,378,688,0.196,0.124,0.975,0.304
271,72,363,385,534,0.223,0.056,0.946,0.056
272,47,363,349,364,0.214,0.234,0.97,0.074
273,39,363,371,324,0.241,0.21,0.951,0.114
274,35,363,381,285,0.2,0.151,0.961,0.06
275,32,363,360,382,0.293,0.223,0.984,0.241
276,62,362,378,506,0.251,0.111,0.96,0.152
277,61,362,375,409,0.21,0.183,0.941,0.09
278,55,362,376,344,0.218,0.099,0.98,0.288
279,46,362,372,460,0.22,0.102,0.983,0.048
280,55,361,371,319,0.251,0.088,0.981,0.013
281,52,361,367,222,0.293,0.086,0.901,0.081
282,48,361,360,276,0.178,0.094,0.986,0.047
283,43,361,359,320,0.241,0.106,0.984,0.128
284,30,361,353,237,0.253,0.228,0.97,0.232
285,57,360,385,377,0.244,0.202,0.931,0.191
286,56,360,353,353,0.195,0.096,0.986,0.065
287,52,360,380,453,0.152,0.113,0.903,0.051
288,52,360,364,433,0.226,0.118,0.972,0.03
289,28,359,335,219,0.233,0.091,0.968,0.187
290,31,358,351,325,0.277,0.092,0.975,0.089
291,74,356,363,381,0.202,0.084,0.976,0.123
292,43,356,379,287,0.24,0.111,0.976,0.077
293,34,356,376,362,0.268,0.188,0.978,0.285
294,48,355,350,384,0.234,0.07,0.966,0.065
295,29,355,404,302,0.248,0.123,0.838,0.222
296,20,355,355,179,0.279,0.134,0.983,0.028
297,48,354,357,348,0.284,0.158,0.957,0.098
298,33,354,366,303,0.238,0.145,0.974,0.162
299,76,353,358,412,0.243,0.146,0.959,0.206
300,40,353,370,251,0.143,0.112,0.625,0.171
301,27,353,315,354,0.251,0.13,0.986,0.105
302,57,352,342,307,0.179,0.205,0.971,0.169
303,29,352,349,350,0.149,0.054,0.977,0.006
304,63,351,375,355,0.225,0.082,0.986,0.099
305,75,348,353,427,0.197,0.126,0.974,0.197
306,68,348,362,437,0.206,0.089,0.975,0.096
307,35,348,381,261,0.149,0.123,0.981,0.061
308,49,347,367,324,0.256,0.136,0.969,0.188
309,23,347,358,419,0.208,0.074,0.983,0.167
310,72,342,346,493,0.278,0.089,0.974,0.112
311,67,342,364,388,0.253,0.204,0.974,0.286
312,37,341,349,347,0.265,0.153,0.968,0.032
313,56,339,349,497,0.008,0.213,1.0,0.869
314,73,338,349,382,0.228,0.215,0.961,0.105
315,67,337,361,343,0.306,0.166,0.95,0.172
316,66,336,378,561,0.043,0.098,1.0,0.679
317,72,332,381,416,0.048,0.231,0.832,0.786
318,43,332,357,472,0.233,0.159,0.975,0.275
319,69,326,409,496,0.01,0.153,0.47,0.728
320,54,326,386,357,0.008,0.252,0.297,0.902
321,39,324,376,323,0.269,0.176,0.985,0.331
322,143,323,475,935,0.001,0.373,0.498,0.918
323,30,321,351,404,0.01,0.399,0.998,0.958
324,55,317,323,359,0.028,0.148,0.994,0.916
325,54,315,339,315,0.016,0.083,1.0,0.883
326,49,314,312,402,0.025,0.241,0.968,0.915
327,45,314,417,421,0.01,0.216,0.323,0.886
328,56,313,320,417,0.173,0.273,0.988,0.259
329,34,310,324,385,0.026,0.41,0.919,0.94
330,90,305,364,351,0.014,0.228,0.464,0.849
331,52,304,356,487,0.021,0.314,0.916,0.943
332,42,304,323,392,0.005,0.372,0.895,0.89
333,49,300,333,380,0.05,0.116,0.997,0.755
334,71,287,335,421,0.043,0.254,0.637,0.941
335,29,279,322,378,0.019,0.31,1.0,0.944
